"scenario","realisedJobs","localResidence","localResidenceRate","cohortShares","corridorSegments","payrollCorridorDemand","ownerPartnerCorridorDemand","corridorDemand","payrollSegments","sector22dPayrollDemand","ownerPartnerDemand","combinedSegments","sector22dDemand"
"Conservative","25000","45%","0.45","{""blue"":0.5,""grey"":0.35,""white"":0.15}","{""shared"":1355,""sub60"":1918,""from60to90"":1211,""from90to150"":806,""above150"":401}","5691","225","5916","{""shared"":108,""sub60"":192,""from60to90"":145,""from90to150"":145,""above150"":100}","690","56","{""shared"":108,""sub60"":198,""from60to90"":156,""from90to150"":165,""above150"":119}","746"
"Base","55000","55%","0.55","{""blue"":0.45,""grey"":0.35,""white"":0.2}","{""shared"":3416,""sub60"":4861,""from60to90"":3295,""from90to150"":2618,""above150"":1437}","15626","963","16589","{""shared"":410,""sub60"":681,""from60to90"":527,""from90to150"":654,""above150"":503}","2775","337","{""shared"":410,""sub60"":698,""from60to90"":578,""from90to150"":772,""above150"":654}","3112"
"Bull","100000","65%","0.65","{""blue"":0.4,""grey"":0.35,""white"":0.25}","{""shared"":6852,""sub60"":9807,""from60to90"":7160,""from90to150"":6589,""above150"":3859}","34268","2625","36893","{""shared"":1233,""sub60"":1961,""from60to90"":1575,""from90to150"":2108,""above150"":1737}","8614","1181","{""shared"":1233,""sub60"":1996,""from60to90"":1717,""from90to150"":2462,""above150"":2387}","9795"
